file,strain,treatment,grp,afb,rep
0_A01,14,0,1,TIR1,2
0_A02,14 G79E,0,1,TIR1,2
0_A03,14 P81A,0,1,TIR1,2
0_A04,14 P81S,0,1,TIR1,2
0_A06,14 3A,0,1,TIR1,2
0_B01,14,10,1,TIR1,2
0_B02,14 G79E,10,1,TIR1,2
0_B03,14 P81A,10,1,TIR1,2
0_B04,14 P81S,10,1,TIR1,2
0_B06,14 3A,10,1,TIR1,2
0_C01,14,0,1,TIR1,2
0_C02,14 G79E,0,1,TIR1,2
0_C03,14 P81A,0,1,TIR1,2
0_C04,14 P81S,0,1,TIR1,2
0_C06,14 3A,0,1,TIR1,2
0_D01,14,10,1,TIR1,2
0_D02,14 G79E,10,1,TIR1,2
0_D03,14 P81A,10,1,TIR1,2
0_D04,14 P81S,10,1,TIR1,2
0_D06,14 3A,10,1,TIR1,2
1_A01,14,0,1,TIR1,2
1_A02,14 G79E,0,1,TIR1,2
1_A03,14 P81A,0,1,TIR1,2
1_A04,14 P81S,0,1,TIR1,2
1_A06,14 3A,0,1,TIR1,2
1_B01,14,0,1,TIR1,2
1_B02,14 G79E,0,1,TIR1,2
1_B03,14 P81A,0,1,TIR1,2
1_B04,14 P81S,0,1,TIR1,2
1_B06,14 3A,0,1,TIR1,2
1_C01,14,0,1,TIR1,2
1_C02,14 G79E,0,1,TIR1,2
1_C03,14 P81A,0,1,TIR1,2
1_C04,14 P81S,0,1,TIR1,2
1_C06,14 3A,0,1,TIR1,2
1_D01,14,0,1,TIR1,2
1_D02,14 G79E,0,1,TIR1,2
1_D03,14 P81A,0,1,TIR1,2
1_D04,14 P81S,0,1,TIR1,2
1_D06,14 3A,0,1,TIR1,2
2_A01,14,10,1,TIR1,2
2_A02,14 G79E,10,1,TIR1,2
2_A03,14 P81A,10,1,TIR1,2
2_A04,14 P81S,10,1,TIR1,2
2_A06,14 3A,10,1,TIR1,2
2_B01,14,10,1,TIR1,2
2_B02,14 G79E,10,1,TIR1,2
2_B03,14 P81A,10,1,TIR1,2
2_B04,14 P81S,10,1,TIR1,2
2_B06,14 3A,10,1,TIR1,2
2_C01,14,10,1,TIR1,2
2_C02,14 G79E,10,1,TIR1,2
2_C03,14 P81A,10,1,TIR1,2
2_C04,14 P81S,10,1,TIR1,2
2_C06,14 3A,10,1,TIR1,2
2_D01,14,10,1,TIR1,2
2_D02,14 G79E,10,1,TIR1,2
2_D03,14 P81A,10,1,TIR1,2
2_D04,14 P81S,10,1,TIR1,2
2_D06,14 3A,10,1,TIR1,2
2_E01,14,10,1,TIR1,2
2_E02,14 G79E,10,1,TIR1,2
2_E03,14 P81A,10,1,TIR1,2
2_E04,14 P81S,10,1,TIR1,2
2_E06,14 3A,10,1,TIR1,2
2_F01,14,10,1,TIR1,2
2_F02,14 G79E,10,1,TIR1,2
2_F03,14 P81A,10,1,TIR1,2
2_F04,14 P81S,10,1,TIR1,2
2_F06,14 3A,10,1,TIR1,2
2_G01,14,10,1,TIR1,2
2_G02,14 G79E,10,1,TIR1,2
2_G03,14 P81A,10,1,TIR1,2
2_G04,14 P81S,10,1,TIR1,2
2_G06,14 3A,10,1,TIR1,2
2_H01,14,10,1,TIR1,2
2_H02,14 G79E,10,1,TIR1,2
2_H03,14 P81A,10,1,TIR1,2
2_H04,14 P81S,10,1,TIR1,2
2_H06,14 3A,10,1,TIR1,2
3_A01,14,10,1,TIR1,2
3_A02,14 G79E,10,1,TIR1,2
3_A03,14 P81A,10,1,TIR1,2
3_A04,14 P81S,10,1,TIR1,2
3_A06,14 3A,10,1,TIR1,2
3_B01,14,10,1,TIR1,2
3_B02,14 G79E,10,1,TIR1,2
3_B03,14 P81A,10,1,TIR1,2
3_B04,14 P81S,10,1,TIR1,2
3_B06,14 3A,10,1,TIR1,2
3_C01,14,10,1,TIR1,2
3_C02,14 G79E,10,1,TIR1,2
3_C03,14 P81A,10,1,TIR1,2
3_C04,14 P81S,10,1,TIR1,2
3_C06,14 3A,10,1,TIR1,2
3_D01,14,10,1,TIR1,2
3_D02,14 G79E,10,1,TIR1,2
3_D03,14 P81A,10,1,TIR1,2
3_D04,14 P81S,10,1,TIR1,2
3_D06,14 3A,10,1,TIR1,2
3_E01,14,10,1,TIR1,2
3_E02,14 G79E,10,1,TIR1,2
3_E03,14 P81A,10,1,TIR1,2
3_E04,14 P81S,10,1,TIR1,2
3_E06,14 3A,10,1,TIR1,2
3_F01,14,10,1,TIR1,2
3_F02,14 G79E,10,1,TIR1,2
3_F03,14 P81A,10,1,TIR1,2
3_F04,14 P81S,10,1,TIR1,2
3_F06,14 3A,10,1,TIR1,2